county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed
Valdez-Chitina-Whittier County,Alaska,Fall,,,,,1261,Class A,,,,,,,,,,,,,,,,,
Warren County,New Jersey,Fall,,,,,438,Class B,,,,,,,,,,,,,,,,,
Sullivan County,New Hampshire,Summer,Report 55269: Dawn sighting at Stevens Brook outside Claremont,43.41549,-72.33093,6/7/2016,55269,Class A,drswfpd1x1,74.69,64.245,53.8,54.64,0.79,0.61,0.1,0.001,0.7,rain,998.87,Mostly cloudy throughout the day.,6,9.7,262,0.49
Thurston County,Nebraska,Spring,Report 59757: Possible daylight sighting of a Sasquatch on the Omaha Indian Reservation,42.15685,-96.34203,5/25/2018,59757,Class B,9z7rzdmv7y,93.4,77.7,62,62.77,0.61,0.06,0.38,0,0,,1008.07,Partly cloudy in the morning.,10,8.25,193,3.33
Ward County,North Dakota,Spring,Report 751: Hunter describes described being stalked near Minot,48.25422,-101.3166,4/21/2000,751,Class A,c8xfw2rt0n,79.51,58.955,38.4,31.01,0.32,0.34,0.6,,,rain,1011.47,Partly cloudy until evening.,6,10,237,11.14
Yancey County,North Carolina,Spring,Report 3339: Deep impressions seen in the snow,35.74875,-82.26195,3/15/1988,3339,Class B,dnme25fetd,22.21,17.705,13.2,9.5,0.79,0.46,0.91,0,0,,1014.47,Partly cloudy until evening and breezy throughout the day.,7,9.5,348,16.94
Stillwater County,Montana,Summer,Report 47215: Female fly fisherman's lucid recollection of classic territorial intimidation behavior of Saquatches ; 6mi NE of Mystic Lake,45.31278,-109.6449,12/15/1971,47215,Class B,c841bbzn0d,,,,,,,,,,,,,,,,
Silver Bow County,Montana,Winter,Report 1757: Two separate sets of large footprints found,46.05292,-112.571,12/15/1988,1757,Class B,c2pvyrsm9w,16.41,7.445,-1.52,0.16,0.75,0.19,0.23,,,snow,1042.41,"Partly cloudy starting in the afternoon, continuing until evening.",1,10,187,1.1
Wright County,Missouri,Spring,Report 59307: Broken trees and possible print found after swaying animal evades hunters near Grovespring,37.46041,-92.63587,4/14/2018,59307,Class B,9ywjh52wey,50.51,40.49,30.47,39.59,0.72,0.66,0.95,0.0007,0.53,rain,,Foggy overnight.,7,2.9,245,7.84
Washington County,Minnesota,Summer,,,,,1081,Class A,,,,,,,,,,,,,,,,,
Wexford County,Michigan,Fall,Report 26196: Possible intimidation experienced by two bow hunters near Cadillac,44.16985,-85.63835,10/1/2000,26196,Class B,dpg572bh1b,76.72,68.845,60.97,50.41,0.59,0.01,0.13,,,rain,,"Breezy starting in the afternoon, continuing until evening, and mostly cloudy overnight.",5,10,196,10.49
York County,Maine,Spring,,,,,883,Class B,,,,,,,,,,,,,,,,,
Worcester County,Maryland,Fall,,,,,8135,Class A,,,,,,,,,,,,,,,,,
Worcester County,Massachusetts,Winter,Report 8717: Snowmobilers have daylight sighting near Ashburnham,42.6688,-71.9023,12/17/1977,8717,Class A,drsfezd7fb,36.37,26.53,16.69,16.08,0.6,0.06,0.25,0,0,,1018.62,Partly cloudy in the morning.,1,10,328,5.66
Webster Parish,Louisiana,Fall,Report 23227: Daylight sighting by squirrel hunter outside Sarepta,32.895,-93.45,11/12/1971,23227,Class A,9vve1krg30,,,,,,,,,,,,,,,,
Washington Parish,Louisiana,Summer,"Report 25548: A hunter recalls finding giant footprints as a boy, and recently heard a strange vocalization while hunting hogs late at night on the outskirts of Varnado",30.85052,-89.81163,6/1/1991,25548,Class B,dj2ps21jm3,,,,,,,,,,,,,,,,
Webster Parish,Louisiana,Summer,Report 23882: Woman recounts incident involving her father near town of Doyline on Lake Bistinue,32.45763,-93.36627,7/14/1976,23882,Class B,9vv8eksz2h,88.09,80.685,73.28,70.96,0.77,0.81,0.61,0,0,,1016.67,Humid and mostly cloudy throughout the day.,5,9.25,213,2.12
Webster Parish,Louisiana,Unknown,"Report 1516: Unknown animal with loud scream visits lake front home, frightens dog; something heavy is heard walking in the water",32.4197,-93.4386,6/15/1979,1516,Class B,9vv83vb46y,86.43,76.09,65.75,62.09,0.67,0.12,0.69,0,0,,1018.39,"Partly cloudy starting in the afternoon, continuing until evening.",10,8.1,135,1.81
Worcester County,Massachusetts,Spring,Report 23732: Sundown sighting by motorists near Rhode Island state border,42.01496,-71.58914,5/15/2008,23732,Class A,drmp4bw6uh,65.54,57.415,49.29,41.23,0.59,0.66,0.36,0,0,,1014.22,Mostly cloudy throughout the day.,5,10,208,0.97
Worcester County,Massachusetts,Summer,Report 28017: Hikers observe and cast possible fresh footprints in Leominister State Forest,42.54334,-71.80123,11/8/2010,28017,Class B,drsfn0gbyj,43.07,41.2,39.33,36.9,0.95,1,0.09,0.0195,0.98,rain,1000.84,Rain in the morning.,2,6.7,345,3.48
Worcester County,Massachusetts,Winter,,,,,50826,Class A,,,,,,,,,,,,,,,,,
Worcester County,Massachusetts,Spring,Report 51902: Strange encounters and possible tracks found in a swamp near the Douglas State Forest,42.08363,-71.83971,5/9/2016,51902,Class B,drkzmjpfvm,64.74,50.29,35.84,33.38,0.5,0.28,0.11,0,0,,1013.69,Mostly cloudy until afternoon.,8,10,288,2.44
York County,Maine,Summer,,,,,1190,Class A,,,,,,,,,,,,,,,,,
York County,Maine,Winter,Report 51991: Possible track way found in the snow hear Hollis,43.6676,-70.6235,2/27/2016,51991,Class B,drvb2vmw1n,33.72,33.065,32.41,9.39,0.52,0,0.65,0,0,,1013.5,Clear throughout the day.,4,10,213,2.09
York County,Maine,Winter,Report 56798: Possible track way found in the snow in Vaughn Woods State Park east of Dover,43.2045,-70.81187,2/14/2017,56798,Class B,drttu9hk7y,32.47,26.18,19.89,16.07,0.74,0.09,0.63,0.0006,0.31,snow,1009.95,Overcast overnight.,3,9.94,235,0.48
Wexford County,Michigan,Fall,Report 45572: Teens shining for deer have a scary encounter near Kingsley,44.50587,-85.51546,10/21/2000,45572,Class A,dpgjnn193r,56.92,46.765,36.61,39.37,0.73,0.21,0.8,,,rain,1022.58,Partly cloudy until evening.,3,8.3,30,3.2
Wexford County,Michigan,Fall,Report 24695: Disoriented coon hunter is followed out of the woods and experiences possible intimidation near Buckley,44.45835,-85.6667,9/25/2008,24695,Class B,dpghft7ktj,75.6,63.505,51.41,52.71,0.79,0.44,0.88,0,0,,1026.87,Foggy in the morning.,5,5.18,160,0.28
Wexford County,Michigan,Summer,,,,,29633,Class B,,,,,,,,,,,,,,,,,
Silver Bow County,Montana,Summer,Report 25662: Hiker spots a bigfoot in the mountains east of Butte,45.9754,-112.4554,8/15/2007,25662,Class A,c80j9186p7,83.68,64.925,46.17,27.2,0.3,0.06,0.09,0,0,,1015.45,Clear throughout the day.,9,3.67,258,1.07
Yancey County,North Carolina,Summer,Report 30860: Daylight sighting by camper at Black Mountain Campground near Blue Ridge Parkway,35.75278,-82.22121,8/21/2011,30860,Class A,dnme3h874c,78.53,70.4,62.27,66.09,0.89,0.36,0.74,0,0,,1015.66,Foggy in the morning.,10,7.22,237,0.22
Warren County,New Jersey,Summer,Report 13276: Motorist has nightime sighting near Harmony,40.76345,-75.11044,12/21/2005,13276,Class B,dr4xfuf0rc,29.43,26.54,23.65,13.71,0.64,0.38,0.69,0,0,,1021.73,Mostly cloudy starting in the afternoon.,2,9.91,266,2.46
Warren County,New Jersey,Winter,Report 17550: Nighttime sighting by motorist near Mansfield,40.8192,-74.85561,3/31/2007,17550,Class A,dr6b0wgv1f,55.63,47.15,38.67,22.18,0.41,0.22,0.44,0,0,,1023.73,Mostly cloudy starting in the afternoon.,7,10,76,0.48
Warren County,New Jersey,Spring,,,,,27743,Class A,,,,,,,,,,,,,,,,,
Warren County,New Jersey,Summer,Report 49883: Recollection of a possible late night stalking on Waterloo Road in Allamuchy,40.89452,-74.79077,10/2/2015,49883,Class B,dr6bdhe5be,49.06,46.65,44.24,44.41,0.87,0.93,0.67,0.0092,0.99,rain,1022.92,Light rain starting in the afternoon.,3,9.16,45,2.87
Taos County,New Mexico,Spring,Report 4904: Professor and students discover series of large footprints crossing high mountain trail,36.599,-105.4113,5/17/2000,4904,Class B,9wt01q9uds,51.96,34.875,17.79,12.2,0.29,0.23,0.48,,,rain,,Mostly cloudy in the morning and windy until evening.,12,10,270,14.15
Taos County,New Mexico,Fall,"Report 16207: Possible vocalizations, knocks heard by hunters in the Gallegos peak area",36.19625,-105.5596,10/2/2006,16207,Class B,9wkvvvmf7n,66.78,55.555,44.33,25.84,0.35,0,0.34,0,0,,,Clear throughout the day.,7,10,261,0.89
Taos County,New Mexico,Summer,,,,,26460,Class A,,,,,,,,,,,,,,,,,
Taos County,New Mexico,Winter,Report 28886: Couple driving home has night time sighting near Tres Piedras,36.65339,-105.9678,2/20/2011,28886,Class A,9ws8s8s97r,30.75,21.81,12.87,18.33,0.7,0.85,0.59,0.0014,1,snow,,Light snow and breezy in the morning.,3,9.21,262,8.39
Vernon Parish,Louisiana,Summer,"Report 1502: Five year old boy approached by a large, bi-pedal animal covered in dark hair",31.1458,-93.2512,7/15/1979,1502,Class A,9vt9njbt3t,,,,,,,,,,,,,,,,
Union Parish,Louisiana,Fall,"Report 1501: Two witnesses see a large, black creature while loading firewood on a truck",32.8057,-92.40895,11/15/1977,1501,Class A,9vy69hjg53,73.63,66.705,59.78,50.05,0.73,0.55,0.17,,,rain,1016.73,Mostly cloudy throughout the day.,3,6.74,167,7.05
Tangipahoa Parish,Louisiana,Summer,,,,,2764,Class A,,,,,,,,,,,,,,,,,
St. Tammany Parish,Louisiana,Fall,,,,,1498,Class B,,,,,,,,,,,,,,,,,
St. Landry Parish,Louisiana,Spring,Report 48665: Woman has clear daytime view of a large Biped,30.74715,-91.76733,5/11/2015,48665,Class A,9vqwzv354h,79.9,74.32,68.74,70.22,0.95,0.56,0.76,0.0323,1,rain,,"Heavy rain starting in the afternoon, continuing until evening.",6,8.54,132,1.55
Sabine Parish,Louisiana,Winter,Report 9567: While taking dog outside witness sees large bipedal shadow next to his shed,31.5831,-93.50845,11/12/2003,9567,Class A,9vte8jt0zh,85.67,71.595,57.52,66.36,0.8,0.7,0.61,0,0,,,Mostly cloudy throughout the day.,4,10,235,3.43
Natchitoches Parish,Louisiana,Spring,"Report 3631: Late afternoon sighting by motorists, off I-49 20 miles south of Natchitoches",31.6498,-93.0887,3/5/1993,3631,Class A,9vtu19wvkn,,,,,,,,,,,,,,,,
